chunk_file,timestamp_start_sec,transcription,sentiment
chunk_0.wav,0,,neutral
chunk_1.wav,5,"Okay, so the",positive
chunk_2.wav,10,"you're going to complete and use the key automation and the object detection system. So then, it's well not needed.",neutral
chunk_3.wav,15,"operate vehicle, checking your needs off the steering wheel and head off the pedals, months before you get that drive.",neutral
chunk_4.wav,20,"Okay, so when you see that some driver indicator highlight green make sure you don't hit the brake at any point during",positive
chunk_5.wav,25,drive. This dot the car cab look at will have the hood yes for getting visual,neutral
chunk_6.wav,30,"back for targets that are in the environment. The car cabboultch, outshapage, that screen",neutral
chunk_7.wav,35,and if one else during the mission. Remember to tap the targets on that ODS as well as completing the booth.,neutral
chunk_8.wav,40,That's the trade system's workstation tasks.,neutral
chunk_9.wav,45,"Alright, so all drivers, picture fit on the brake. You're not removing.",positive
chunk_10.wav,50,your foot from the brake until I instruct you to remove it or cap driver you may start the car.,neutral
chunk_11.wav,55,I'll drive with your foot still on the brake.,neutral
chunk_12.wav,60,You drove through me.,neutral
chunk_13.wav,65,that,neutral
chunk_14.wav,70,,neutral
chunk_15.wav,75,I need to go back. Car cab driver and only the car cab driver.,neutral
chunk_16.wav,80,"Yes. Yeah, right. Make sure everyone isn't dry.",positive
chunk_17.wav,85,I am now in drive.,neutral
chunk_18.wav,90,Maybe get moving forward.,neutral
chunk_19.wav,95,as I drove through them.,neutral
chunk_20.wav,100,some driver on.,neutral
chunk_21.wav,105,a color skater And,neutral
chunk_22.wav,110,"Yes, breaker over the night, across the body, marry! Scooter?",neutral
chunk_23.wav,115,And knocked back,neutral
chunk_24.wav,120,It's driving out of it.,neutral
chunk_25.wav,125,I see scooters on both sides of the road,neutral
chunk_26.wav,130,"this one. Yeah, it's not motorcycles.",neutral
chunk_27.wav,135,"Yeah, that's on the left side of the road. Passing now",neutral
chunk_28.wav,140,Yeah. That was a surprise. That's it.,neutral
chunk_29.wav,145,,neutral
chunk_30.wav,150,Do you have any target? Not yet. I hit...,neutral
chunk_31.wav,155,"I'll get a 10-and-flight, but... Yes, I'll. Okay.",positive
chunk_32.wav,160,Those motorcycles were giving me a car.,neutral
chunk_33.wav,165,"It's kind of beat up. There's a box on the roof. Uh-huh. Uh, past R-Sute, it's uh...",positive
chunk_34.wav,170,at 10 o'clock. I think we used.,neutral
chunk_35.wav,175,Matches are going out. Pasing now.,neutral
chunk_36.wav,180,We're also passing it out. Part one.,neutral
chunk_37.wav,185,is the,neutral
chunk_38.wav,190,three so far behind car two.,negative
chunk_39.wav,195,Yes.,neutral
chunk_40.wav,200,,neutral
chunk_41.wav,205,to,neutral
chunk_42.wav,210,Is the ODS working?,neutral
chunk_43.wav,215,"Yes, sometimes there is a green bug there. This identify that.",negative
chunk_44.wav,220,"No, you won't see anything, but that might see something in the passenger seat of podium.",neutral
chunk_45.wav,225,It should be a wide car right now.,neutral
chunk_46.wav,230,white SCV like it shoo white,neutral
chunk_47.wav,235,"Stand or SUV, SUV. Yes, SUV.",neutral
chunk_48.wav,240,I see a camel.,neutral
chunk_49.wav,245,Yeah an got cars coming up.,neutral
chunk_50.wav,250,There's a driving white car on the left.,neutral
chunk_51.wav,255,"Yeah, I'm going to go to the lab. I'm going to go to the lab. But it's not. It's not.",neutral
chunk_52.wav,260,I think that was it. Yeah. We have another white...,neutral
chunk_53.wav,265,SUV and passing that one left now.,neutral
chunk_54.wav,270,watch the news,neutral
chunk_55.wav,275,"Find another phone, please.",neutral
chunk_56.wav,280,passing military checkpoint,neutral
chunk_57.wav,285,There will aren't see count,neutral
chunk_58.wav,290,nice花 and at the same time I will show you exists water that command zal,neutral
chunk_59.wav,295,covering it and it's got like model,neutral
chunk_60.wav,300,Yeah,neutral
chunk_61.wav,305,,neutral
chunk_62.wav,310,"Jack, do you like this?",neutral
chunk_63.wav,315,you enough to understand or do you want to continue? Yeah I think,neutral
chunk_64.wav,320,"I think is, how about you comment it? I think it is enough.",neutral
chunk_65.wav,325,I mean I'm having fun but we can stop if you want to. Hahahaha. Hey.,neutral
chunk_66.wav,330,"and we kill it. So, all dry.",neutral
chunk_67.wav,335,Okay. Okay?,positive
chunk_68.wav,340,of braking out,neutral
chunk_69.wav,345,Please don't run through me. No.,neutral
chunk_70.wav,350,We've been we're ended,neutral
chunk_71.wav,355,park now.,neutral
